"nationality","year","nationality_total","dest_state","state_nationality_received","dest_city","city_nationality_received","total"
"Afghanistan",2018,"839","Arizona","85","Glendale",32,"22,874"
"Afghanistan",2018,"839","Arizona","85","Phoenix",41,"22,874"
"Afghanistan",2018,"839","Arizona","85","Tucson",12,"22,874"
"Afghanistan",2018,"839","California","166","El Cajon",3,"22,874"
"Afghanistan",2018,"839","California","166","Glendale",2,"22,874"
"Afghanistan",2018,"839","California","166","Los Gatos",4,"22,874"
"Afghanistan",2018,"839","California","166","Sacramento",48,"22,874"
"Afghanistan",2018,"839","California","166","San Diego",47,"22,874"
"Afghanistan",2018,"839","California","166","San Jose",5,"22,874"
"Afghanistan",2018,"839","California","166","Turlock",56,"22,874"
"Afghanistan",2018,"839","California","166","Walnut Creek",1,"22,874"
"Afghanistan",2018,"839","Colorado","19","Denver",13,"22,874"
"Afghanistan",2018,"839","Colorado","19","Lakewood",6,"22,874"
"Afghanistan",2018,"839","Connecticut","17","New Haven",17,"22,874"
"Afghanistan",2018,"839","Delaware","2","Wilmington",2,"22,874"
"Afghanistan",2018,"839","Florida","7","Jacksonville",7,"22,874"
"Afghanistan",2018,"839","Georgia","44","Atlanta",42,"22,874"
"Afghanistan",2018,"839","Georgia","44","Lawrenceville",1,"22,874"
"Afghanistan",2018,"839","Georgia","44","Tucker",1,"22,874"
"Afghanistan",2018,"839","Idaho","6","Boise",6,"22,874"
"Afghanistan",2018,"839","Illinois","27","Aurora",2,"22,874"
"Afghanistan",2018,"839","Illinois","27","Chicago",25,"22,874"
"Afghanistan",2018,"839","Kansas","10","Wichita",10,"22,874"
"Afghanistan",2018,"839","Kentucky","2","Louisville",2,"22,874"
"Afghanistan",2018,"839","Maryland","17","Baltimore",9,"22,874"
"Afghanistan",2018,"839","Maryland","17","Silver Spring",8,"22,874"
"Afghanistan",2018,"839","Massachusetts","16","Framingham",1,"22,874"
"Afghanistan",2018,"839","Massachusetts","16","Springfield",5,"22,874"
"Afghanistan",2018,"839","Massachusetts","16","Worcester",10,"22,874"
"Afghanistan",2018,"839","Michigan","59","Ann Arbor",10,"22,874"
"Afghanistan",2018,"839","Michigan","59","Dearborn",35,"22,874"
"Afghanistan",2018,"839","Michigan","59","Grand Rapids",6,"22,874"
"Afghanistan",2018,"839","Michigan","59","Kalamazoo",3,"22,874"
"Afghanistan",2018,"839","Michigan","59","Lansing",3,"22,874"
"Afghanistan",2018,"839","Michigan","59","Redford",1,"22,874"
"Afghanistan",2018,"839","Michigan","59","Troy",1,"22,874"
"Afghanistan",2018,"839","Missouri","14","Kansas City",2,"22,874"
"Afghanistan",2018,"839","Missouri","14","Saint Louis",12,"22,874"
"Afghanistan",2018,"839","Nebraska","10","Omaha",10,"22,874"
"Afghanistan",2018,"839","Nevada","19","Las Vegas",7,"22,874"
"Afghanistan",2018,"839","Nevada","19","Reno",12,"22,874"
"Afghanistan",2018,"839","New Jersey","2","Elizabeth",1,"22,874"
"Afghanistan",2018,"839","New Jersey","2","Jersey City",1,"22,874"
"Afghanistan",2018,"839","New Mexico","19","Albuquerque",19,"22,874"
"Afghanistan",2018,"839","New York","61","Albany",22,"22,874"
"Afghanistan",2018,"839","New York","61","Buffalo",14,"22,874"
"Afghanistan",2018,"839","New York","61","Clifton Park",5,"22,874"
"Afghanistan",2018,"839","New York","61","Cohoes",2,"22,874"
"Afghanistan",2018,"839","New York","61","New York",3,"22,874"
"Afghanistan",2018,"839","New York","61","Rochester",5,"22,874"
"Afghanistan",2018,"839","New York","61","Syracuse",7,"22,874"
"Afghanistan",2018,"839","New York","61","Watervliet",3,"22,874"
"Afghanistan",2018,"839","North Carolina","18","Durham",3,"22,874"
"Afghanistan",2018,"839","North Carolina","18","Raleigh",15,"22,874"
"Afghanistan",2018,"839","North Dakota","11","Fargo",11,"22,874"
"Afghanistan",2018,"839","Ohio","44","Akron",29,"22,874"
"Afghanistan",2018,"839","Ohio","44","Cleveland Heights",4,"22,874"
"Afghanistan",2018,"839","Ohio","44","Toledo",11,"22,874"
"Afghanistan",2018,"839","Oregon","10","Gresham",2,"22,874"
"Afghanistan",2018,"839","Oregon","10","Portland",8,"22,874"
"Afghanistan",2018,"839","Pennsylvania","11","Allentown",1,"22,874"
"Afghanistan",2018,"839","Pennsylvania","11","Philadelphia",9,"22,874"
"Afghanistan",2018,"839","Pennsylvania","11","Roslyn",1,"22,874"
"Afghanistan",2018,"839","Rhode Island","4","Providence",4,"22,874"
"Afghanistan",2018,"839","South Carolina","4","Columbia",4,"22,874"
"Afghanistan",2018,"839","Tennessee","6","Chattanooga",2,"22,874"
"Afghanistan",2018,"839","Tennessee","6","Knoxville",1,"22,874"
"Afghanistan",2018,"839","Tennessee","6","Memphis",3,"22,874"
"Afghanistan",2018,"839","Texas","57","Austin",4,"22,874"
"Afghanistan",2018,"839","Texas","57","Dallas",31,"22,874"
"Afghanistan",2018,"839","Texas","57","Fort Worth",6,"22,874"
"Afghanistan",2018,"839","Texas","57","Houston",15,"22,874"
"Afghanistan",2018,"839","Texas","57","San Antonio",1,"22,874"
"Afghanistan",2018,"839","Utah","4","Salt Lake City",4,"22,874"
"Afghanistan",2018,"839","Virginia","54","Chantilly",1,"22,874"
"Afghanistan",2018,"839","Virginia","54","Charlottesville",7,"22,874"
"Afghanistan",2018,"839","Virginia","54","Newport News",10,"22,874"
"Afghanistan",2018,"839","Virginia","54","Richmond",29,"22,874"
"Afghanistan",2018,"839","Virginia","54","Roanoke",7,"22,874"
"Afghanistan",2018,"839","Washington","7","Seatac",5,"22,874"
"Afghanistan",2018,"839","Washington","7","Seattle",2,"22,874"
"Afghanistan",2018,"839","Wisconsin","7","Madison",4,"22,874"
"Afghanistan",2018,"839","Wisconsin","7","Oshkosh",3,"22,874"
"Algeria",2018,"2","Arizona","1","Phoenix",1,"22,874"
"Algeria",2018,"2","New York","1","Rochester",1,"22,874"
"Angola",2018,"1","North Dakota","1","Fargo",1,"22,874"
"Armenia",2018,"32","California","31","Glendale",9,"22,874"
"Armenia",2018,"32","California","31","Los Angeles",3,"22,874"
"Armenia",2018,"32","California","31","Rancho Cordova",9,"22,874"
"Armenia",2018,"32","California","31","Sacramento",10,"22,874"
"Armenia",2018,"32","Oregon","1","Portland",1,"22,874"
"Azerbaijan",2018,"2","California","2","Walnut Creek",2,"22,874"
"Bangladesh",2018,"4","Colorado","2","Denver",2,"22,874"
"Bangladesh",2018,"4","Georgia","2","Atlanta",2,"22,874"
"Belarus",2018,"169","California","42","Antelope",20,"22,874"
"Belarus",2018,"169","California","42","North Highlands",5,"22,874"
"Belarus",2018,"169","California","42","Rancho Cordova",8,"22,874"
"Belarus",2018,"169","California","42","Sacramento",8,"22,874"
"Belarus",2018,"169","California","42","Walnut Creek",1,"22,874"
"Belarus",2018,"169","Colorado","18","Denver",6,"22,874"
"Belarus",2018,"169","Colorado","18","Lakewood",12,"22,874"
"Belarus",2018,"169","Illinois","3","Chicago",3,"22,874"
"Belarus",2018,"169","Massachusetts","6","Gardner",3,"22,874"
"Belarus",2018,"169","Massachusetts","6","Worcester",3,"22,874"
"Belarus",2018,"169","Minnesota","16","Minneapolis",16,"22,874"
"Belarus",2018,"169","New York","10","Utica",10,"22,874"
"Belarus",2018,"169","North Carolina","7","Asheville",7,"22,874"
"Belarus",2018,"169","Oregon","4","Portland",4,"22,874"
"Belarus",2018,"169","Pennsylvania","16","Erie",6,"22,874"
"Belarus",2018,"169","Pennsylvania","16","Greencastle",6,"22,874"
"Belarus",2018,"169","Pennsylvania","16","Lancaster",4,"22,874"
"Belarus",2018,"169","South Carolina","12","Inman",7,"22,874"
"Belarus",2018,"169","South Carolina","12","Moore",5,"22,874"
"Belarus",2018,"169","Virginia","1","Harrisonburg",1,"22,874"
"Belarus",2018,"169","Washington","34","Auburn",11,"22,874"
"Belarus",2018,"169","Washington","34","Lynnwood",5,"22,874"
"Belarus",2018,"169","Washington","34","Milton",8,"22,874"
"Belarus",2018,"169","Washington","34","Spokane Valley",5,"22,874"
"Belarus",2018,"169","Washington","34","Vancouver",5,"22,874"
"Bhutan",2018,"707","Arizona","5","Tucson",5,"22,874"
"Bhutan",2018,"707","Colorado","9","Aurora",4,"22,874"
"Bhutan",2018,"707","Colorado","9","Denver",3,"22,874"
"Bhutan",2018,"707","Colorado","9","Lakewood",2,"22,874"
"Bhutan",2018,"707","Connecticut","3","Hartford",3,"22,874"
"Bhutan",2018,"707","Georgia","18","Atlanta",14,"22,874"
"Bhutan",2018,"707","Georgia","18","Stone Mountain",4,"22,874"
"Bhutan",2018,"707","Idaho","3","Boise",3,"22,874"
"Bhutan",2018,"707","Illinois","3","Aurora",3,"22,874"
"Bhutan",2018,"707","Iowa","17","Des Moines",17,"22,874"
"Bhutan",2018,"707","Kansas","5","Kansas City",5,"22,874"
"Bhutan",2018,"707","Kentucky","35","Louisville",35,"22,874"
"Bhutan",2018,"707","Maryland","7","Baltimore",7,"22,874"
"Bhutan",2018,"707","Massachusetts","18","Springfield",6,"22,874"
"Bhutan",2018,"707","Massachusetts","18","Westfield",10,"22,874"
"Bhutan",2018,"707","Massachusetts","18","Worcester",2,"22,874"
"Bhutan",2018,"707","Michigan","36","Grand Rapids",25,"22,874"
"Bhutan",2018,"707","Michigan","36","Lansing",11,"22,874"
"Bhutan",2018,"707","Minnesota","13","Minneapolis",3,"22,874"
"Bhutan",2018,"707","Minnesota","13","Roseville",2,"22,874"
"Bhutan",2018,"707","Minnesota","13","Saint Paul",8,"22,874"
"Bhutan",2018,"707","Missouri","2","Saint Louis",2,"22,874"
"Bhutan",2018,"707","Nebraska","44","Omaha",44,"22,874"
"Bhutan",2018,"707","Nevada","5","Las Vegas",5,"22,874"
"Bhutan",2018,"707","New Hampshire","6","Concord",6,"22,874"
"Bhutan",2018,"707","New York","35","Buffalo",2,"22,874"
"Bhutan",2018,"707","New York","35","Rochester",24,"22,874"
"Bhutan",2018,"707","New York","35","Syracuse",9,"22,874"
"Bhutan",2018,"707","North Carolina","13","Charlotte",10,"22,874"
"Bhutan",2018,"707","North Carolina","13","Greensboro",3,"22,874"
"Bhutan",2018,"707","North Dakota","19","Fargo",13,"22,874"
"Bhutan",2018,"707","North Dakota","19","Grand Forks",6,"22,874"
"Bhutan",2018,"707","Ohio","225","Akron",63,"22,874"
"Bhutan",2018,"707","Ohio","225","Cincinnati",23,"22,874"
"Bhutan",2018,"707","Ohio","225","Cleveland",21,"22,874"
"Bhutan",2018,"707","Ohio","225","Cleveland Heights",12,"22,874"
"Bhutan",2018,"707","Ohio","225","Columbus",99,"22,874"
"Bhutan",2018,"707","Ohio","225","Cuyahoga Falls",6,"22,874"
"Bhutan",2018,"707","Ohio","225","Stow",1,"22,874"
"Bhutan",2018,"707","Oregon","9","Portland",9,"22,874"
"Bhutan",2018,"707","Pennsylvania","48","Erie",13,"22,874"
"Bhutan",2018,"707","Pennsylvania","48","Harrisburg",6,"22,874"
"Bhutan",2018,"707","Pennsylvania","48","Lancaster",4,"22,874"
"Bhutan",2018,"707","Pennsylvania","48","Philadelphia",6,"22,874"
"Bhutan",2018,"707","Pennsylvania","48","Pittsburgh",14,"22,874"
"Bhutan",2018,"707","Pennsylvania","48","Scranton",1,"22,874"
"Bhutan",2018,"707","Pennsylvania","48","West Mifflin",4,"22,874"
"Bhutan",2018,"707","South Dakota","26","Sioux Falls",26,"22,874"
"Bhutan",2018,"707","Tennessee","21","Antioch",5,"22,874"
"Bhutan",2018,"707","Tennessee","21","Memphis",6,"22,874"
"Bhutan",2018,"707","Tennessee","21","Nashville",10,"22,874"
"Bhutan",2018,"707","Texas","31","Austin",2,"22,874"
"Bhutan",2018,"707","Texas","31","Dallas",22,"22,874"
"Bhutan",2018,"707","Texas","31","Fort Worth",3,"22,874"
"Bhutan",2018,"707","Texas","31","Houston",4,"22,874"
"Bhutan",2018,"707","Utah","8","Salt Lake City",8,"22,874"
"Bhutan",2018,"707","Vermont","19","Burlington",16,"22,874"
"Bhutan",2018,"707","Vermont","19","Essex Junction",3,"22,874"
"Bhutan",2018,"707","Virginia","15","Richmond",13,"22,874"
"Bhutan",2018,"707","Virginia","15","Roanoke",2,"22,874"
"Bhutan",2018,"707","Washington","9","Kent",3,"22,874"
"Bhutan",2018,"707","Washington","9","Seattle",6,"22,874"
"Burma",2018,"3,771","Alabama","1","Birmingham",1,"22,874"
"Burma",2018,"3,771","Arizona","81","Glendale",34,"22,874"
"Burma",2018,"3,771","Arizona","81","Phoenix",47,"22,874"
"Burma",2018,"3,771","California","36","Citrus Heights",1,"22,874"
"Burma",2018,"3,771","California","36","Daly City",2,"22,874"
"Burma",2018,"3,771","California","36","Fullerton",2,"22,874"
"Burma",2018,"3,771","California","36","Los Angeles",1,"22,874"
"Burma",2018,"3,771","California","36","Oakland",11,"22,874"
"Burma",2018,"3,771","California","36","San Diego",18,"22,874"
"Burma",2018,"3,771","California","36","San Jose",1,"22,874"
"Burma",2018,"3,771","Colorado","107","Aurora",8,"22,874"
"Burma",2018,"3,771","Colorado","107","Castle Rock",5,"22,874"
"Burma",2018,"3,771","Colorado","107","Denver",20,"22,874"
"Burma",2018,"3,771","Colorado","107","Evans",1,"22,874"
"Burma",2018,"3,771","Colorado","107","Greeley",50,"22,874"
"Burma",2018,"3,771","Colorado","107","Lakewood",23,"22,874"
"Burma",2018,"3,771","Connecticut","10","Hartford",7,"22,874"
"Burma",2018,"3,771","Connecticut","10","New Haven",3,"22,874"
"Burma",2018,"3,771","Florida","24","Clearwater",1,"22,874"
"Burma",2018,"3,771","Florida","24","Doral",1,"22,874"
"Burma",2018,"3,771","Florida","24","Jacksonville",10,"22,874"
"Burma",2018,"3,771","Florida","24","Lake Worth",7,"22,874"
"Burma",2018,"3,771","Florida","24","Navarre",1,"22,874"
"Burma",2018,"3,771","Florida","24","Orlando",3,"22,874"
"Burma",2018,"3,771","Florida","24","Palm Springs",1,"22,874"
"Burma",2018,"3,771","Georgia","204","Atlanta",166,"22,874"
"Burma",2018,"3,771","Georgia","204","Avondale Estates",1,"22,874"
"Burma",2018,"3,771","Georgia","204","Clarkston",28,"22,874"
"Burma",2018,"3,771","Georgia","204","Peachtree City",4,"22,874"
"Burma",2018,"3,771","Georgia","204","Stone Mountain",5,"22,874"
"Burma",2018,"3,771","Idaho","7","Boise",7,"22,874"
"Burma",2018,"3,771","Illinois","289","Aurora",34,"22,874"
"Burma",2018,"3,771","Illinois","289","Carol Stream",1,"22,874"
"Burma",2018,"3,771","Illinois","289","Chicago",163,"22,874"
"Burma",2018,"3,771","Illinois","289","East Moline",16,"22,874"
"Burma",2018,"3,771","Illinois","289","Glen Ellyn",14,"22,874"
"Burma",2018,"3,771","Illinois","289","Glendale Heights",3,"22,874"
"Burma",2018,"3,771","Illinois","289","Lombard",4,"22,874"
"Burma",2018,"3,771","Illinois","289","Moline",9,"22,874"
"Burma",2018,"3,771","Illinois","289","Monmouth",7,"22,874"
"Burma",2018,"3,771","Illinois","289","Rock Island",10,"22,874"
"Burma",2018,"3,771","Illinois","289","Rockford",13,"22,874"
"Burma",2018,"3,771","Illinois","289","Silvis",7,"22,874"
"Burma",2018,"3,771","Illinois","289","Warrenville",1,"22,874"
"Burma",2018,"3,771","Illinois","289","Wheaton",7,"22,874"
"Burma",2018,"3,771","Indiana","365","Fort Wayne",106,"22,874"
"Burma",2018,"3,771","Indiana","365","Greenwood",3,"22,874"
