"nationality","year","nationality_total","dest_state","state_nationality_received","dest_city","city_nationality_received","total"
"Afghanistan",2017,"806","Alabama","9","Mobile",9,"33,393"
"Afghanistan",2017,"806","Arizona","65","Glendale",10,"33,393"
"Afghanistan",2017,"806","Arizona","65","Phoenix",45,"33,393"
"Afghanistan",2017,"806","Arizona","65","Tucson",10,"33,393"
"Afghanistan",2017,"806","Arkansas","1","Phoenix",1,"33,393"
"Afghanistan",2017,"806","California","106","Anaheim",1,"33,393"
"Afghanistan",2017,"806","California","106","El Cajon",1,"33,393"
"Afghanistan",2017,"806","California","106","Escondido",6,"33,393"
"Afghanistan",2017,"806","California","106","Fremont",1,"33,393"
"Afghanistan",2017,"806","California","106","Fullerton",1,"33,393"
"Afghanistan",2017,"806","California","106","Glendale",8,"33,393"
"Afghanistan",2017,"806","California","106","Oakland",4,"33,393"
"Afghanistan",2017,"806","California","106","Sacramento",41,"33,393"
"Afghanistan",2017,"806","California","106","San Diego",31,"33,393"
"Afghanistan",2017,"806","California","106","San Jose",1,"33,393"
"Afghanistan",2017,"806","California","106","Turlock",11,"33,393"
"Afghanistan",2017,"806","Colorado","18","Denver",18,"33,393"
"Afghanistan",2017,"806","Connecticut","18","Hartford",1,"33,393"
"Afghanistan",2017,"806","Connecticut","18","New Haven",17,"33,393"
"Afghanistan",2017,"806","Florida","10","Jacksonville",10,"33,393"
"Afghanistan",2017,"806","Georgia","38","Atlanta",15,"33,393"
"Afghanistan",2017,"806","Georgia","38","Clarkston",1,"33,393"
"Afghanistan",2017,"806","Georgia","38","Savannah",17,"33,393"
"Afghanistan",2017,"806","Georgia","38","Stone Mountain",5,"33,393"
"Afghanistan",2017,"806","Idaho","4","Boise",4,"33,393"
"Afghanistan",2017,"806","Illinois","33","Aurora",4,"33,393"
"Afghanistan",2017,"806","Illinois","33","Chicago",24,"33,393"
"Afghanistan",2017,"806","Illinois","33","Rockford",5,"33,393"
"Afghanistan",2017,"806","Indiana","11","Bloomington",6,"33,393"
"Afghanistan",2017,"806","Indiana","11","Indianapolis",5,"33,393"
"Afghanistan",2017,"806","Iowa","7","Des Moines",7,"33,393"
"Afghanistan",2017,"806","Kentucky","1","Louisville",1,"33,393"
"Afghanistan",2017,"806","Maryland","26","Baltimore",2,"33,393"
"Afghanistan",2017,"806","Maryland","26","Hyattsville",6,"33,393"
"Afghanistan",2017,"806","Maryland","26","Riverdale",4,"33,393"
"Afghanistan",2017,"806","Maryland","26","Silver Spring",14,"33,393"
"Afghanistan",2017,"806","Massachusetts","10","Boston",3,"33,393"
"Afghanistan",2017,"806","Massachusetts","10","Lowell",6,"33,393"
